Clean_Sample	Sample	Length
p13.E3	Seq708_p13.E3	526
p20.H11	Seq99_p20.H11	526
p5.E11	Seq164_p5.E11	526
p22.G1	Seq1316_p22.G1	526
p20.H10	Seq297_p20.H10	526
p13.E10	Seq1105_p13.E10	526
p6.F11	Seq676_p6.F11	526
p8.F5	Seq1163_p8.F5	526
p26.A1	Seq469_p26.A1	526
p6.F3	Seq549_p6.F3	526
p3.A10	Seq1214_p3.A10	526
p11.F3	Seq668_p11.F3	526
p24.C10	Seq514_p24.C10	526
p20.A11	Seq1179_p20.A11	526
p8.D1	Seq305_p8.D1	526
p11.F8	Seq424_p11.F8	526
p13.F10	Seq773_p13.F10	526
p6.F12	Seq524_p6.F12	526
p6.F9	Seq1008_p6.F9	526
p20.C11	Seq942_p20.C11	526
p4.F11	Seq1223_p4.F11	526
p26.E1	Seq561_p26.E1	526
p24.F11	Seq261_p24.F11	526
p24.B9	Seq216_p24.B9	526
p3.E11	Seq1160_p3.E11	526
p12.F3	Seq679_p12.F3	526
p3.G5	Seq185_p3.G5	526
p7.F3	Seq755_p7.F3	526
p1.B10	Seq224_p1.B10	526
p8.F4	Seq1135_p8.F4	526
p24.D11	Seq1014_p24.D11	526
p1.A10	Seq1108_p1.A10	526
p20.F11	Seq807_p20.F11	526
p7.E9	Seq472_p7.E9	526
p24.D3	Seq1085_p24.D3	526
p24.G3	Seq734_p24.G3	526
p20.G3	Seq1171_p20.G3	526
p3.B6	Seq724_p3.B6	526
p5.E12	Seq130_p5.E12	526
p13.G5	Seq766_p13.G5	526
p21.B2	Seq947_p21.B2	526
p3.F12	Seq14_p3.F12	526
p3.A3	Seq1021_p3.A3	526
p13.G6	Seq1026_p13.G6	526
p4.A5	Seq328_p4.A5	526
p24.D1	Seq445_p24.D1	526
p20.F1	Seq215_p20.F1	526
p7.A4	Seq142_p7.A4	526
p5.D9	Seq161_p5.D9	526
p21.G2	Seq697_p21.G2	526
p2.B2	Seq139_p2.B2	526
p7.C7	Seq599_p7.C7	526
p3.C11	Seq916_p3.C11	526
p12.D8	Seq356_p12.D8	526
p1.H12	Seq280_p1.H12	526
p7.B3	Seq1339_p7.B3	526
p9.C9	Seq928_p9.C9	526
p1.H6	Seq20_p1.H6	526
p4.B3	Seq1222_p4.B3	526
p3.A4	Seq501_p3.A4	526
p3.G7	Seq910_p3.G7	526
p1.B3	Seq1107_p1.B3	526
p8.C2	Seq1183_p8.C2	526
p3.H6	Seq1083_p3.H6	526
p2.A6	Seq1244_p2.A6	526
p1.G6	Seq1084_p1.G6	526
p5.A4	Seq966_p5.A4	526
p6.B3	Seq1266_p6.B3	526
p1.B4	Seq918_p1.B4	526
p21.C2	Seq1140_p21.C2	526
p6.C2	Seq827_p6.C2	526
p12.A6	Seq1082_p12.A6	526
p11.B1	Seq566_p11.B1	526
p13.C8	Seq1058_p13.C8	526
p2.C2	Seq379_p2.C2	526
p3.G6	Seq564_p3.G6	526
p20.B1	Seq557_p20.B1	526
p22.A3	Seq92_p22.A3	526
p3.D11	Seq909_p3.D11	526
p2.A5	Seq1188_p2.A5	526
p5.C10	Seq435_p5.C10	526
p9.A6	Seq805_p9.A6	526
p1.C11	Seq534_p1.C11	526
p6.A5	Seq1304_p6.A5	526
p3.B7	Seq717_p3.B7	526
p3.D10	Seq1197_p3.D10	526
p24.F1	Seq974_p24.F1	526
p9.A3	Seq570_p9.A3	526
p5.B3	Seq560_p5.B3	526
p24.G1	Seq1365_p24.G1	526
p7.B7	Seq1296_p7.B7	526
p7.A3	Seq1292_p7.A3	526
p3.B4	Seq206_p3.B4	526
p3.C10	Seq516_p3.C10	526
p6.A6	Seq774_p6.A6	526
p2.C3	Seq336_p2.C3	526
p5.B4	Seq395_p5.B4	526
p7.G7	Seq1175_p7.G7	526
p5.C9	Seq39_p5.C9	526
p1.H5	Seq509_p1.H5	526
p9.D9	Seq572_p9.D9	526
p8.B2	Seq536_p8.B2	526
p24.B1	Seq203_p24.B1	526
p4.C2	Seq821_p4.C2	526
p5.C8	Seq1239_p5.C8	526
p24.E1	Seq605_p24.E1	526
p3.A7	Seq137_p3.A7	526
p9.C11	Seq576_p9.C11	526
p9.A7	Seq138_p9.A7	526
p25.C2	Seq994_p25.C2	526
p1.A7	Seq282_p1.A7	526
p9.B4	Seq883_p9.B4	526
p9.B7	Seq923_p9.B7	526
p7.C9	Seq1100_p7.C9	526
p20.C1	Seq10_p20.C1	526
p1.C10	Seq791_p1.C10	526
p5.B7	Seq353_p5.B7	526
p1.D11	Seq312_p1.D11	526
p7.D9	Seq986_p7.D9	526
p12.G5	Seq1191_p12.G5	526
p3.F11	Seq483_p3.F11	526
p7.A6	Seq996_p7.A6	526
p12.C10	Seq1261_p12.C10	526
p20.D1	Seq510_p20.D1	526
p5.D8	Seq414_p5.D8	526
p9.B3	Seq232_p9.B3	526
p5.B6	Seq746_p5.B6	526
p1.G7	Seq672_p1.G7	526
p3.H7	Seq343_p3.H7	526
p9.C8	Seq868_p9.C8	526
p9.D12	Seq1236_p9.D12	526
p12.B3	Seq769_p12.B3	526
p8.C3	Seq410_p8.C3	526
p20.E1	Seq392_p20.E1	526
p11.C2	Seq778_p11.C2	526
p13.H4	Seq1205_p13.H4	526
p1.B7	Seq42_p1.B7	526
p5.A3	Seq1313_p5.A3	526
p20.A1	Seq569_p20.A1	526
p1.A4	Seq1182_p1.A4	526
p20.G1	Seq87_p20.G1	526
p24.C1	Seq420_p24.C1	526
p7.H7	Seq1247_p7.H7	526
p1.H11	Seq1080_p1.H11	526
p6.C3	Seq172_p6.C3	526
p11.C1	Seq344_p11.C1	526
p24.H1	Seq761_p24.H1	526
p5.A7	Seq199_p5.A7	526
p5.A6	Seq1121_p5.A6	526
p11.A5	Seq1110_p11.A5	526
p1.D10	Seq58_p1.D10	526
p12.D9	Seq760_p12.D9	526
p13.A3	Seq882_p13.A3	526
p7.A7	Seq83_p7.A7	526
p9.D8	Seq616_p9.D8	526
p5.G6	Seq309_p5.G6	526
p13.C9	Seq1166_p13.C9	526
p25.B2	NA	0
p9.E8	Seq655_p9.E8	526
p7.B6	Seq177_p7.B6	526
p5.D10	Seq588_p5.D10	526
p9.A4	Seq683_p9.A4	526
p9.B6	Seq940_p9.B6	526
p4.B2	Seq770_p4.B2	526
p20.H1	Seq365_p20.H1	526
p3.A6	Seq187_p3.A6	526
p5.H7	Seq953_p5.H7	526
p1.A3	Seq381_p1.A3	526
p7.F12	Seq1029_p7.F12	526
p8.B3	Seq373_p8.B3	526
p9.C10	Seq93_p9.C10	526
p7.H6	Seq925_p7.H6	526
p13.B3	Seq1272_p13.B3	526
p7.D8	Seq641_p7.D8	526
p25.F2	Seq301_p25.F2	526
p7.E10	Seq814_p7.E10	526
p11.B2	Seq624_p11.B2	526
p5.D12	Seq1310_p5.D12	526
p4.C3	Seq340_p4.C3	526
p13.E12	Seq1152_p13.E12	526
p13.H5	Seq714_p13.H5	526
p13.D9	Seq97_p13.D9	526
p12.B6	Seq1343_p12.B6	526
p2.B3	Seq1124_p2.B3	526
p7.C8	Seq512_p7.C8	526
p25.D2	NA	0
p13.B6	Seq998_p13.B6	526
p12.G6	Seq348_p12.G6	526
p4.A6	Seq756_p4.A6	526
p2.G4	Seq1007_p2.G4	526
p2.H5	Seq744_p2.H5	526
p6.G5	Seq1068_p6.G5	526
p5.A11	Seq866_p5.A11	526
p1.A11	Seq1122_p1.A11	526
p25.G5	Seq1279_p25.G5	526
p9.E7	Seq573_p9.E7	526
p21.E7	Seq593_p21.E7	526
p21.G5	Seq938_p21.G5	526
p21.G8	Seq499_p21.G8	526
p24.C12	Seq839_p24.C12	526
p25.H8	Seq321_p25.H8	526
p25.G9	Seq990_p25.G9	526
p7.F6	Seq740_p7.F6	526
p21.F5	Seq777_p21.F5	526
p20.E10	Seq815_p20.E10	526
p13.B10	Seq21_p13.B10	526
p3.E8	Seq110_p3.E8	526
p1.B12	Seq1357_p1.B12	526
p24.H9	Seq1114_p24.H9	526
p24.F12	Seq275_p24.F12	526
p24.A9	Seq1301_p24.A9	526
p9.A11	Seq880_p9.A11	526
p25.D8	Seq458_p25.D8	526
p25.F9	Seq1285_p25.F9	526
p21.H5	Seq1311_p21.H5	526
p24.E2	Seq149_p24.E2	526
p4.D3	Seq181_p4.D3	526
p12.D12	Seq1349_p12.D12	526
p25.A8	Seq1198_p25.A8	526
p7.B11	Seq131_p7.B11	526
p21.D7	Seq750_p21.D7	526
p5.F7	Seq515_p5.F7	526
p7.A10	Seq36_p7.A10	526
p4.D1	Seq1184_p4.D1	526
p2.A8	Seq847_p2.A8	526
p21.C7	Seq1200_p21.C7	526
p24.C9	Seq1237_p24.C9	526
p22.D3	Seq663_p22.D3	526
p21.F8	Seq553_p21.F8	526
p5.A12	Seq205_p5.A12	526
p21.C9	Seq1186_p21.C9	526
p1.B11	Seq468_p1.B11	526
p21.G9	Seq646_p21.G9	526
p3.E7	Seq23_p3.E7	526
p25.F5	Seq789_p25.F5	526
p6.H8	Seq1258_p6.H8	526
p13.E7	Seq29_p13.E7	526
p20.D12	Seq574_p20.D12	526
p20.F10	Seq692_p20.F10	526
p21.D8	Seq723_p21.D8	526
p20.C12	Seq290_p20.C12	526
p26.A4	Seq1078_p26.A4	526
p12.E7	Seq829_p12.E7	526
p21.H8	Seq801_p21.H8	526
p20.A12	Seq1246_p20.A12	526
p9.F6	Seq258_p9.F6	526
p21.H9	Seq729_p21.H9	526
p21.E9	Seq7_p21.E9	526
p25.H9	Seq926_p25.H9	526
p25.A9	Seq980_p25.A9	526
p25.E5	Seq389_p25.E5	526
p5.E7	Seq124_p5.E7	526
p20.G10	Seq1263_p20.G10	526
p21.E8	Seq642_p21.E8	526
p25.B7	Seq452_p25.B7	526
p9.B11	Seq242_p9.B11	526
p24.B12	Seq698_p24.B12	526
p25.A7	Seq871_p25.A7	526
p3.F7	Seq636_p3.F7	526
p20.C9	Seq31_p20.C9	526
p6.H7	Seq371_p6.H7	526
p21.A8	Seq680_p21.A8	526
p12.F6	Seq1229_p12.F6	526
p22.C3	Seq1181_p22.C3	526
p9.F7	Seq197_p9.F7	526
p3.A12	Seq548_p3.A12	526
p20.H12	Seq273_p20.H12	526
p13.H6	Seq737_p13.H6	526
p9.G7	Seq884_p9.G7	526
p1.A12	Seq836_p1.A12	526
p12.G1	Seq1138_p12.G1	526
p25.E9	Seq1360_p25.E9	526
p2.A7	Seq1143_p2.A7	526
p6.D3	Seq255_p6.D3	526
p21.B8	Seq623_p21.B8	526
p7.E5	Seq195_p7.E5	526
p24.E9	Seq579_p24.E9	526
p24.G9	Seq277_p24.G9	526
p21.F7	Seq419_p21.F7	526
p20.E9	Seq442_p20.E9	526
p25.B5	Seq1187_p25.B5	526
p12.A11	Seq819_p12.A11	526
p24.A12	Seq831_p24.A12	526
p24.D12	Seq1056_p24.D12	526
p25.C9	Seq283_p25.C9	526
p25.C5	Seq689_p25.C5	526
p25.B8	Seq1321_p25.B8	526
p12.E3	Seq120_p12.E3	526
p21.A9	Seq594_p21.A9	526
p9.H2	Seq286_p9.H2	526
p11.A7	Seq418_p11.A7	526
p21.G7	Seq1354_p21.G7	526
p21.C8	Seq1254_p21.C8	526
p25.B9	Seq951_p25.B9	526
p25.B1	Seq358_p25.B1	526
p24.D9	Seq813_p24.D9	526
p25.E8	Seq1204_p25.E8	526
p25.D5	Seq934_p25.D5	526
p20.G12	Seq899_p20.G12	526
p21.H7	Seq413_p21.H7	526
p6.D4	Seq1019_p6.D4	526
p20.F12	Seq733_p20.F12	526
p7.E11	Seq840_p7.E11	526
p12.E6	Seq333_p12.E6	526
p24.G12	Seq145_p24.G12	526
p25.F8	Seq1016_p25.F8	526
p3.G12	Seq304_p3.G12	526
p7.E6	Seq651_p7.E6	526
p20.G9	Seq867_p20.G9	526
p13.F7	Seq677_p13.F7	526
p7.A12	Seq1062_p7.A12	526
p20.B12	Seq1020_p20.B12	526
p12.B11	Seq656_p12.B11	526
p7.F7	Seq324_p7.F7	526
p21.D9	Seq249_p21.D9	526
p25.D7	Seq1090_p25.D7	526
p5.B11	Seq446_p5.B11	526
p1.F8	Seq958_p1.F8	526
p3.B10	Seq881_p3.B10	526
p9.F5	Seq857_p9.F5	526
p21.B7	Seq460_p21.B7	526
p25.H7	Seq1215_p25.H7	526
p6.E3	Seq694_p6.E3	526
p13.B9	Seq1013_p13.B9	526
p13.A11	Seq204_p13.A11	526
p21.A7	Seq1131_p21.A7	526
p6.A8	Seq264_p6.A8	526
p20.E12	Seq952_p20.E12	526
p1.F7	Seq936_p1.F7	526
p3.B11	Seq62_p3.B11	526
p13.E6	Seq797_p13.E6	526
p21.A5	Seq1128_p21.A5	526
p9.A9	Seq191_p9.A9	526
p25.E7	Seq471_p25.E7	526
p25.G8	Seq678_p25.G8	526
p3.A11	Seq1150_p3.A11	526
p5.E8	Seq220_p5.E8	526
p25.F7	Seq736_p25.F7	526
p21.B9	Seq49_p21.B9	526
p21.D5	Seq1363_p21.D5	526
p21.F9	Seq1086_p21.F9	526
p1.E8	Seq262_p1.E8	526
p25.D9	Seq917_p25.D9	526
p25.C7	Seq613_p25.C7	526
p24.D2	Seq398_p24.D2	526
p13.A10	Seq292_p13.A10	526
p24.E12	Seq222_p24.E12	526
p13.D12	Seq1104_p13.D12	526
p7.B10	Seq1102_p7.B10	526
p2.E3	Seq859_p2.E3	526
p8.H8	Seq527_p8.H8	526
p4.G8	Seq1341_p4.G8	526
p8.H4	Seq466_p8.H4	280
p11.H12	Seq403_p11.H12	280
p2.H4	Seq950_p2.H4	280
p8.G3	Seq1101_p8.G3	280
p11.G4	Seq73_p11.G4	280
p6.H6	Seq394_p6.H6	280
p6.G4	Seq985_p6.G4	280
p4.H4	Seq982_p4.H4	280
p2.G3	Seq1350_p2.G3	280
p13.G8	Seq503_p13.G8	280
p21.C5	Seq337_p21.C5	280
p20.A4	Seq1373_p20.A4	280
p13.G2	Seq251_p13.G2	280
p8.E9	Seq896_p8.E9	280
p7.E12	Seq464_p7.E12	280
p21.F4	Seq291_p21.F4	280
p21.A4	Seq932_p21.A4	280
p9.H6	Seq1209_p9.H6	280
p25.A5	Seq935_p25.A5	280
p8.A9	Seq658_p8.A9	280
p7.E1	Seq380_p7.E1	280
p21.C4	Seq227_p21.C4	280
p20.E4	Seq870_p20.E4	280
p21.G4	Seq176_p21.G4	280
p1.H7	Seq846_p1.H7	280
p4.A9	Seq824_p4.A9	280
p7.H8	Seq743_p7.H8	280
p20.D4	Seq1295_p20.D4	280
p9.H3	Seq208_p9.H3	280
p12.G8	Seq687_p12.G8	280
p11.E10	Seq1212_p11.E10	280
p5.H9	Seq753_p5.H9	280
p7.G8	Seq95_p7.G8	280
p1.H2	Seq165_p1.H2	280
p25.G4	Seq370_p25.G4	280
p7.H2	Seq567_p7.H2	280
p25.H5	Seq649_p25.H5	280
p3.G2	Seq1216_p3.G2	280
p24.F4	Seq532_p24.F4	280
p6.E10	Seq488_p6.E10	280
p4.A10	Seq226_p4.A10	280
p25.F4	Seq1199_p25.F4	280
p21.E4	Seq754_p21.E4	280
p12.E1	Seq530_p12.E1	280
p25.C8	Seq171_p25.C8	280
p5.G3	Seq198_p5.G3	280
p12.G2	Seq1004_p12.G2	280
p6.D9	Seq526_p6.D9	280
p12.G3	Seq1260_p12.G3	280
p3.H8	Seq794_p3.H8	280
p20.G4	Seq745_p20.G4	280
p2.F8	Seq1165_p2.F8	280
p25.A4	Seq1230_p25.A4	280
p25.D4	Seq634_p25.D4	280
p21.B4	Seq893_p21.B4	280
p25.H4	Seq1346_p25.H4	280
p1.C12	Seq157_p1.C12	280
p25.C4	Seq944_p25.C4	280
p7.F1	Seq930_p7.F1	280
p20.C4	Seq886_p20.C4	280
p25.B4	Seq308_p25.B4	280
p21.D4	Seq1162_p21.D4	280
p21.E5	Seq812_p21.E5	280
p24.B4	Seq252_p24.B4	280
p2.D9	Seq1217_p2.D9	280
p20.F4	Seq382_p20.F4	280
p6.A9	Seq385_p6.A9	280
p5.H8	Seq1312_p5.H8	280
p24.A4	Seq853_p24.A4	280
p24.G4	Seq196_p24.G4	280
p4.D10	Seq82_p4.D10	280
p8.D9	Seq122_p8.D9	280
p11.E9	Seq279_p11.E9	280
p1.G9	Seq907_p1.G9	280
p20.B4	Seq5_p20.B4	280
p8.E10	Seq334_p8.E10	280
p6.A10	Seq661_p6.A10	280
p1.D12	Seq1231_p1.D12	280
p9.F1	Seq657_p9.F1	280
p9.G8	Seq480_p9.G8	280
p8.F8	Seq842_p8.F8	280
p21.B5	Seq861_p21.B5	280
p9.H7	Seq775_p9.H7	280
p1.G3	Seq600_p1.G3	280
p6.H10	Seq207_p6.H10	280
p21.H4	Seq562_p21.H4	280
p20.H4	Seq8_p20.H4	280
p25.G7	Seq782_p25.G7	280
p24.H4	Seq1206_p24.H4	280
p5.F1	Seq949_p5.F1	280
p24.C4	Seq91_p24.C4	280
p24.E4	Seq967_p24.E4	280
p5.E2	Seq659_p5.E2	280
p3.E2	Seq912_p3.E2	280
p24.D4	Seq1142_p24.D4	280
p2.A10	Seq113_p2.A10	280
p1.G8	Seq439_p1.G8	280
p13.H7	Seq434_p13.H7	280
p13.G7	Seq166_p13.G7	280
p9.B12	Seq506_p9.B12	280
p11.A8	Seq1202_p11.A8	280
p5.G2	Seq1297_p5.G2	280
p12.H3	Seq53_p12.H3	280
p4.E9	Seq387_p4.E9	280
p25.E4	Seq897_p25.E4	280
p6.B7	Seq56_p6.B7	280
p2.B7	Seq1344_p2.B7	280
p6.C7	Seq747_p6.C7	280
p2.C7	Seq1299_p2.C7	280
p7.G1	Seq332_p7.G1	280
p6.B6	Seq1233_p6.B6	280
p8.C6	Seq46_p8.C6	280
p6.C6	Seq1264_p6.C6	280
p12.H1	Seq1347_p12.H1	280
p11.B6	Seq1319_p11.B6	280
p4.B7	Seq231_p4.B7	280
p8.B5	Seq1379_p8.B5	280
p7.H1	Seq1106_p7.H1	280
p4.C7	Seq968_p4.C7	280
p9.H1	Seq359_p9.H1	280
p6.E4	Seq1146_p6.E4	280
p13.F6	Seq905_p13.F6	280
p9.G1	Seq837_p9.G1	280
p27.G6	Seq1057_p27.G6	280
p23.D1	Seq617_p23.D1	280
p23.B1	Seq1072_p23.B1	280
p27.C6	Seq102_p27.C6	280
p26.H9	Seq219_p26.H9	280
p23.A1	Seq335_p23.A1	280
p23.C1	Seq1141_p23.C1	280
p26.G8	Seq1232_p26.G8	280
p26.E6	Seq76_p26.E6	280
p26.H7	Seq1097_p26.H7	280
p27.G5	Seq363_p27.G5	280
p26.B10	Seq1098_p26.B10	280
p11.E1	Seq929_p11.E1	280
p4.E1	Seq263_p4.E1	280
p11.C4	Seq376_p11.C4	526
p9.F4	Seq964_p9.F4	526
p13.E4	Seq1091_p13.E4	526
p8.C4	Seq902_p8.C4	526
p2.A11	Seq937_p2.A11	526
p7.F4	Seq810_p7.F4	526
p13.F4	Seq933_p13.F4	526
p13.F12	Seq575_p13.F12	526
p7.E4	Seq322_p7.E4	526
p11.C12	Seq1320_p11.C12	526
p3.F5	Seq486_p3.F5	526
p1.E5	Seq495_p1.E5	526
p11.B12	Seq835_p11.B12	526
p9.E4	Seq943_p9.E4	526
p3.E5	Seq851_p3.E5	526
p12.E4	Seq116_p12.E4	526
p11.A12	Seq327_p11.A12	526
p8.A2	NA	0
p12.G7	Seq685_p12.G7	526
p3.G9	Seq1120_p3.G9	526
p5.G9	Seq247_p5.G9	526
p1.E1	Seq954_p1.E1	526
p3.F2	Seq864_p3.F2	526
p3.F1	Seq235_p3.F1	526
p11.A9	Seq294_p11.A9	526
p8.A7	Seq1276_p8.A7	526
p25.F11	Seq860_p25.F11	526
p21.B11	Seq162_p21.B11	526
p21.H11	Seq584_p21.H11	526
p21.G11	Seq1224_p21.G11	526
p8.F12	Seq1364_p8.F12	526
p21.C11	Seq315_p21.C11	526
p4.F10	Seq101_p4.F10	526
p25.B11	Seq57_p25.B11	526
p2.F9	Seq25_p2.F9	526
p25.E11	Seq596_p25.E11	526
p11.F10	Seq1277_p11.F10	526
p21.F11	Seq80_p21.F11	526
p2.F12	Seq1109_p2.F12	526
p25.G11	Seq529_p25.G11	526
p25.A11	Seq230_p25.A11	526
p25.D11	Seq1243_p25.D11	526
p21.A11	Seq875_p21.A11	526
p21.D11	Seq1351_p21.D11	526
p4.F9	Seq1300_p4.F9	526
p8.F11	Seq686_p8.F11	526
p25.H11	Seq188_p25.H11	526
p21.E11	Seq981_p21.E11	526
p25.C11	NA	0
p26.A7	Seq1041_p26.A7	280
p11.E6	Seq96_p11.E6	280
p3.C3	Seq1059_p3.C3	280
p7.D2	Seq173_p7.D2	280
p11.E8	Seq1112_p11.E8	280
p5.D2	Seq1119_p5.D2	280
p25.E3	Seq863_p25.E3	280
p6.E8	Seq44_p6.E8	280
p1.F5	Seq1336_p1.F5	280
p6.D7	Seq1253_p6.D7	280
p22.A8	Seq1030_p22.A8	280
p8.A5	Seq606_p8.A5	280
p11.D9	Seq711_p11.D9	280
p2.D8	Seq299_p2.D8	280
p25.H3	Seq318_p25.H3	280
p25.A3	Seq533_p25.A3	280
p8.E6	Seq1302_p8.E6	280
p26.G5	Seq1353_p26.G5	280
p4.E6	Seq428_p4.E6	280
p11.D6	Seq962_p11.D6	280
p21.C3	Seq898_p21.C3	280
p24.A1	Seq78_p24.A1	280
p2.D6	Seq272_p2.D6	280
p22.H5	Seq217_p22.H5	280
p8.D8	Seq32_p8.D8	280
p8.E7	Seq612_p8.E7	280
p26.G4	Seq393_p26.G4	280
p22.C7	Seq1268_p22.C7	280
p11.B11	Seq640_p11.B11	280
p22.E5	Seq500_p22.E5	280
p26.A8	Seq1270_p26.A8	280
p26.H4	Seq1079_p26.H4	280
p3.C2	Seq47_p3.C2	280
p12.D1	Seq133_p12.D1	280
p4.D8	Seq539_p4.D8	280
p8.E8	Seq300_p8.E8	280
p3.D2	Seq671_p3.D2	280
p26.B6	Seq601_p26.B6	280
p21.E3	Seq374_p21.E3	280
p25.E2	Seq969_p25.E2	280
p4.D6	Seq626_p4.D6	280
p12.C2	Seq772_p12.C2	280
p9.C2	Seq1065_p9.C2	280
p2.E6	Seq37_p2.E6	280
p8.D6	Seq1113_p8.D6	280
p22.H4	Seq422_p22.H4	280
p26.F5	Seq1052_p26.F5	280
p4.E8	Seq633_p4.E8	280
p25.C3	Seq104_p25.C3	280
p22.F5	Seq1103_p22.F5	280
p26.E5	Seq809_p26.E5	280
p13.C1	Seq278_p13.C1	280
p22.C5	Seq396_p22.C5	280
p26.H5	Seq552_p26.H5	280
p3.D9	Seq589_p3.D9	280
p22.F4	Seq1376_p22.F4	280
p1.D2	Seq758_p1.D2	280
p26.D5	Seq1208_p26.D5	280
p1.C3	Seq302_p1.C3	280
p22.B7	Seq992_p22.B7	280
p9.D2	Seq1335_p9.D2	280
p7.D3	Seq190_p7.D3	280
p2.E7	Seq372_p2.E7	280
p25.F3	Seq670_p25.F3	280
p21.G3	Seq1158_p21.G3	280
p8.D5	Seq354_p8.D5	280
p26.F4	Seq454_p26.F4	280
p12.H6	Seq112_p12.H6	280
p7.C1	Seq407_p7.C1	280
p25.B3	Seq338_p25.B3	280
p22.A5	Seq146_p22.A5	280
